Period;Group;Series;Average
2005 March;Swedish Government Bonds;SE GVB 10Y;3.8612
2005 April;Swedish Government Bonds;SE GVB 10Y;3.5798
2005 May;Swedish Government Bonds;SE GVB 10Y;3.3419
2005 June;Swedish Government Bonds;SE GVB 10Y;3.1085
2005 July;Swedish Government Bonds;SE GVB 10Y;3.0633
2005 August;Swedish Government Bonds;SE GVB 10Y;3.1411
2005 September;Swedish Government Bonds;SE GVB 10Y;2.9798
2005 October;Swedish Government Bonds;SE GVB 10Y;3.1748
2005 November;Swedish Government Bonds;SE GVB 10Y;3.385
2005 December;Swedish Government Bonds;SE GVB 10Y;3.374
2006 January;Swedish Government Bonds;SE GVB 10Y;3.325
2006 February;Swedish Government Bonds;SE GVB 10Y;3.4155
2006 March;Swedish Government Bonds;SE GVB 10Y;3.5452
2006 April;Swedish Government Bonds;SE GVB 10Y;3.8372
2006 May;Swedish Government Bonds;SE GVB 10Y;3.8881
2006 June;Swedish Government Bonds;SE GVB 10Y;3.9333
2006 July;Swedish Government Bonds;SE GVB 10Y;3.9579
2006 August;Swedish Government Bonds;SE GVB 10Y;3.8354
2006 September;Swedish Government Bonds;SE GVB 10Y;3.6971
2006 October;Swedish Government Bonds;SE GVB 10Y;3.7316
2006 November;Swedish Government Bonds;SE GVB 10Y;3.6152
2006 December;Swedish Government Bonds;SE GVB 10Y;3.6492
2007 January;Swedish Government Bonds;SE GVB 10Y;3.9023
2007 February;Swedish Government Bonds;SE GVB 10Y;3.9265
2007 March;Swedish Government Bonds;SE GVB 10Y;3.7939
2007 April;Swedish Government Bonds;SE GVB 10Y;4.0434
2007 May;Swedish Government Bonds;SE GVB 10Y;4.1529
2007 June;Swedish Government Bonds;SE GVB 10Y;4.4395
2007 July;Swedish Government Bonds;SE GVB 10Y;4.4495
2007 August;Swedish Government Bonds;SE GVB 10Y;4.248
2007 September;Swedish Government Bonds;SE GVB 10Y;4.216
2007 October;Swedish Government Bonds;SE GVB 10Y;4.3143
2007 November;Swedish Government Bonds;SE GVB 10Y;4.2154
2007 December;Swedish Government Bonds;SE GVB 10Y;4.3082
2008 January;Swedish Government Bonds;SE GVB 10Y;4.0823
2008 February;Swedish Government Bonds;SE GVB 10Y;4.0156
2008 March;Swedish Government Bonds;SE GVB 10Y;3.9157
2008 April;Swedish Government Bonds;SE GVB 10Y;4.0635
2008 May;Swedish Government Bonds;SE GVB 10Y;4.181
2008 June;Swedish Government Bonds;SE GVB 10Y;4.4277
2008 July;Swedish Government Bonds;SE GVB 10Y;4.3746
2008 August;Swedish Government Bonds;SE GVB 10Y;4.1137
2008 September;Swedish Government Bonds;SE GVB 10Y;3.9013
2008 October;Swedish Government Bonds;SE GVB 10Y;3.5671
2008 November;Swedish Government Bonds;SE GVB 10Y;3.343
2008 December;Swedish Government Bonds;SE GVB 10Y;2.6662
2009 January;Swedish Government Bonds;SE GVB 10Y;2.7976
2009 February;Swedish Government Bonds;SE GVB 10Y;2.9287
2009 March;Swedish Government Bonds;SE GVB 10Y;2.9377
2009 April;Swedish Government Bonds;SE GVB 10Y;3.1793
2009 May;Swedish Government Bonds;SE GVB 10Y;3.5678
2009 June;Swedish Government Bonds;SE GVB 10Y;3.6216
2009 July;Swedish Government Bonds;SE GVB 10Y;3.3697
2009 August;Swedish Government Bonds;SE GVB 10Y;3.4455
2009 September;Swedish Government Bonds;SE GVB 10Y;3.3772
2009 October;Swedish Government Bonds;SE GVB 10Y;3.2545
2009 November;Swedish Government Bonds;SE GVB 10Y;3.2742
2009 December;Swedish Government Bonds;SE GVB 10Y;3.2386
2010 January;Swedish Government Bonds;SE GVB 10Y;3.3698
2010 February;Swedish Government Bonds;SE GVB 10Y;3.2821
2010 March;Swedish Government Bonds;SE GVB 10Y;3.197
2010 April;Swedish Government Bonds;SE GVB 10Y;3.1398
2010 May;Swedish Government Bonds;SE GVB 10Y;2.726
2010 June;Swedish Government Bonds;SE GVB 10Y;2.607
2010 July;Swedish Government Bonds;SE GVB 10Y;2.7027
2010 August;Swedish Government Bonds;SE GVB 10Y;2.448
2010 September;Swedish Government Bonds;SE GVB 10Y;2.5268
2010 October;Swedish Government Bonds;SE GVB 10Y;2.6388
2010 November;Swedish Government Bonds;SE GVB 10Y;2.8567
2010 December;Swedish Government Bonds;SE GVB 10Y;3.2055
2011 January;Swedish Government Bonds;SE GVB 10Y;3.281
2011 February;Swedish Government Bonds;SE GVB 10Y;3.4076
2011 March;Swedish Government Bonds;SE GVB 10Y;3.3518
2011 April;Swedish Government Bonds;SE GVB 10Y;3.3035
2011 May;Swedish Government Bonds;SE GVB 10Y;3.0146
2011 June;Swedish Government Bonds;SE GVB 10Y;2.8843
2011 July;Swedish Government Bonds;SE GVB 10Y;2.7546
2011 August;Swedish Government Bonds;SE GVB 10Y;2.1658
2011 September;Swedish Government Bonds;SE GVB 10Y;1.829
2011 October;Swedish Government Bonds;SE GVB 10Y;1.9028
2011 November;Swedish Government Bonds;SE GVB 10Y;1.6922
2011 December;Swedish Government Bonds;SE GVB 10Y;1.6769
2012 January;Swedish Government Bonds;SE GVB 10Y;1.7046
2012 February;Swedish Government Bonds;SE GVB 10Y;1.8862
2012 March;Swedish Government Bonds;SE GVB 10Y;1.9464
2012 April;Swedish Government Bonds;SE GVB 10Y;1.8237
2012 May;Swedish Government Bonds;SE GVB 10Y;1.5111
2012 June;Swedish Government Bonds;SE GVB 10Y;1.4502
2012 July;Swedish Government Bonds;SE GVB 10Y;1.3332
2012 August;Swedish Government Bonds;SE GVB 10Y;1.4357
2012 September;Swedish Government Bonds;SE GVB 10Y;1.5082
2012 October;Swedish Government Bonds;SE GVB 10Y;1.541
2012 November;Swedish Government Bonds;SE GVB 10Y;1.4592
2012 December;Swedish Government Bonds;SE GVB 10Y;1.5066
2013 January;Swedish Government Bonds;SE GVB 10Y;1.7987
2013 February;Swedish Government Bonds;SE GVB 10Y;1.9987
2013 March;Swedish Government Bonds;SE GVB 10Y;1.9224
2013 April;Swedish Government Bonds;SE GVB 10Y;1.6568
2013 May;Swedish Government Bonds;SE GVB 10Y;1.791
2013 June;Swedish Government Bonds;SE GVB 10Y;2.0459
2013 July;Swedish Government Bonds;SE GVB 10Y;2.1605
2013 August;Swedish Government Bonds;SE GVB 10Y;2.3406
2013 September;Swedish Government Bonds;SE GVB 10Y;2.6018
2013 October;Swedish Government Bonds;SE GVB 10Y;2.4352
2013 November;Swedish Government Bonds;SE GVB 10Y;2.2977
2013 December;Swedish Government Bonds;SE GVB 10Y;2.3864
2014 January;Swedish Government Bonds;SE GVB 10Y;2.3707
2014 February;Swedish Government Bonds;SE GVB 10Y;2.2278
2014 March;Swedish Government Bonds;SE GVB 10Y;2.1613
2014 April;Swedish Government Bonds;SE GVB 10Y;2.0595
2014 May;Swedish Government Bonds;SE GVB 10Y;1.8781
2014 June;Swedish Government Bonds;SE GVB 10Y;1.8032
2014 July;Swedish Government Bonds;SE GVB 10Y;1.5957
2014 August;Swedish Government Bonds;SE GVB 10Y;1.5799
2014 September;Swedish Government Bonds;SE GVB 10Y;1.5132
2014 October;Swedish Government Bonds;SE GVB 10Y;1.2987
2014 November;Swedish Government Bonds;SE GVB 10Y;1.136
2014 December;Swedish Government Bonds;SE GVB 10Y;1.0083
2015 January;Swedish Government Bonds;SE GVB 10Y;0.7812
2015 February;Swedish Government Bonds;SE GVB 10Y;0.6153
2015 March;Swedish Government Bonds;SE GVB 10Y;0.5827
2015 April;Swedish Government Bonds;SE GVB 10Y;0.3432
2015 May;Swedish Government Bonds;SE GVB 10Y;0.7454
2015 June;Swedish Government Bonds;SE GVB 10Y;0.9918
2015 July;Swedish Government Bonds;SE GVB 10Y;0.8148
2015 August;Swedish Government Bonds;SE GVB 10Y;0.6635
2015 September;Swedish Government Bonds;SE GVB 10Y;0.7077
2015 October;Swedish Government Bonds;SE GVB 10Y;0.661
2015 November;Swedish Government Bonds;SE GVB 10Y;0.8031
2015 December;Swedish Government Bonds;SE GVB 10Y;0.9323
2016 January;Swedish Government Bonds;SE GVB 10Y;1.0204
2016 February;Swedish Government Bonds;SE GVB 10Y;0.769
2016 March;Swedish Government Bonds;SE GVB 10Y;0.8235
2016 April;Swedish Government Bonds;SE GVB 10Y;0.8113
2016 May;Swedish Government Bonds;SE GVB 10Y;0.7737
2016 June;Swedish Government Bonds;SE GVB 10Y;0.5206
2016 July;Swedish Government Bonds;SE GVB 10Y;0.167
2016 August;Swedish Government Bonds;SE GVB 10Y;0.097
2016 September;Swedish Government Bonds;SE GVB 10Y;0.219
2016 October;Swedish Government Bonds;SE GVB 10Y;0.2394
